user_id,product_name,size,review_text,review_date,size_tag,brightness_tag,color_tag,ball_of_foot_tag,comfort_tag
LV.7 사랑이꼬순내,핸드볼 스페지알 - 핑크 / IF6561,230,여러가지 느낌을 낼 수 있어서 더 예쁘고 약간 흐린듯한 핑크라 좀 아쉽지만 그래서 편하게 신을 수 있을 것 같아요,2024.05.22,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.4 찢나,핸드볼 스페지알 - 핑크 / IF6561,240,정말 예뻐요 딸기우유 같아서 귀여워요 잘 신고 다닙니당,2024.05.21,보통이에요,보통이에요,보통이에요,넓어요,적당해요
LV.7 애옹ㅆ,핸드볼 스페지알 - 핑크 / IF6561,225,덩크보단 굽이없어서 바닥에 붙어다니는 느낌이긴한데 그래도 이뻐서 맘에들어요!,2024.05.21,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.4 손가락이여섯개,핸드볼 스페지알 - 핑크 / IF6561,245,진짜예뻐요 일주일 넘게 고민하다가 샀는데 봄 여름 신발로 최고에요 핑크 잘 신고 다니기 힘들줄 알았는데 하나도 안어려워요,2024.05.20,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.3 안정적인성수룩,핸드볼 스페지알 - 핑크 / IF6561,225,깔창에 아치구조가 있어서 발도 편하고 색감도 빈티지해서 어디에나 잘어울려요! 스웨이드 소재라 좀더 더워지면 잘 못신을것 같긴한데 예쁩니다. 봄가을 코디에 추천하요!,2024.05.20,보통이에요,보통이에요,선명해요,보통이에요,편안해요
LV.4 프롬제인,핸드볼 스페지알 - 핑크 / IF6561,225,"예쁘네요~
아디다스 가델핑크와 스페지알 핑크 고민하다
덜 질릴꺼 같은 스페지알 핑크로 픽!
딸기우유빛 컬러가 너무 예뻐요.
사이즈는 발볼이 있어 반치수 작게 구매했어요",2024.05.20,커요,보통이에요,보통이에요,좁아요,적당해요
LV.5 소심한마술사,핸드볼 스페지알 - 핑크 / IF6561,235,"신발 넘 포인트로 기엽지않나요… 강추합니당
240 사이즈로 모든신발 신는 사람인데
235 크지도 작지도 않고 딱 알맞게 좋았습니당 강추추",2024.05.20,커요,보통이에요,선명해요,보통이에요,편안해요
LV.4 ahhyuu,핸드볼 스페지알 - 핑크 / IF6561,235,"컬러는 너무 예쁜데 사이즈가 진짜 이상해요...
무조건 다운!!
신어보시고 사시는걸 추천드립니다 :)",2024.05.20,커요,보통이에요,선명해요,보통이에요,딱딱해요
LV.5 뚀륵,핸드볼 스페지알 - 핑크 / IF6561,230,"235칼발인데도 살짝 남는 느낌? 꽉끈해서 신고 다니려구용!
아디다스는 대체적으로 칼발은 반다운, 한사이즈 다운해야 맞는거 같아욤
아주아주 예쁩미다~ 저처럼 입는거보단 더 캐주얼하게 입는게 더 잘 어울릴거 같아요",2024.05.19,커요,보통이에요,보통이에요,보통이에요,편안해요
LV.4 특별한울산와이드,핸드볼 스페지알 - 핑크 / IF6561,220,정사이즈보다 살짝 큰 느낌 반업이니 한치수크게사야할듯,2024.05.19,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 날이너무더워서,핸드볼 스페지알 - 핑크 / IF6561,220,아디다스 스페지알 핑크 컬러 실물이 더 예쁩니다 착화감도 매우 편해요 추천합니다!,2024.05.19,보통이에요,보통이에요,선명해요,보통이에요,편안해요
LV.6 3_clover,핸드볼 스페지알 - 핑크 / IF6561,250,엄청 폭신해서 착화감은 좋아요 오래 걸어도 안아파요 사이즈는 반사이즈 다운 하면 딱 좋은거 같습니다,2024.05.19,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 죠르디럽,핸드볼 스페지알 - 핑크 / IF6561,220,1시간 반 넘게 걸었는데 불편함 전혀 없네요! 사이즈는 한사이즈 업하세요!!,2024.05.19,커요,보통이에요,보통이에요,보통이에요,편안해요
LV.5 김오이님,핸드볼 스페지알 - 핑크 / IF6561,270,"발도 편하고 핑크핑크 포인트로 좋아요
아디다스 오랜만에 좋네요 ㅎㅎ",2024.05.19,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 김오이님,핸드볼 스페지알 - 핑크 / IF6561,245,"발도 편하고 핑크핑크 포인트로 좋아요
아디다스 오랜만에 좋네요 ㅎㅎ",2024.05.19,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.4 Shay83,핸드볼 스페지알 - 핑크 / IF6561,225,"청바지에 정말 잘 어울려요
오래 걸어도 괜찮아요
스웨이드지만 색감이 상큼해서 여름에도 신어도 될거 같아요",2024.05.18,커요,밝아요,선명해요,보통이에요,편안해요
LV.4 구르꾸름,핸드볼 스페지알 - 핑크 / IF6561,230,사이즈 생각보다 커서 반사이즈 다운 하니까 딱 좋아요~,2024.05.18,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.5 지쳐지친다,핸드볼 스페지알 - 핑크 / IF6561,235,"과하지않게 색이 잘 빠진 핑크라 포인트도 되고 좋아요
반사이즈다운했는데도 많이 크네요ㅠㅠ
발볼만 아니었으면 한사이즈다운해도 맞을듯요",2024.05.18,커요,보통이에요,보통이에요,보통이에요,적당해요
LV.6 마루감자탕,핸드볼 스페지알 - 핑크 / IF6561,245,"야구장에서 첫 개시했습니다
색감 너무 이쁘고
발볼 좁은 편인데 정사이즈 편하게 잘 맞았습니다",2024.05.18,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.4 쭈u,핸드볼 스페지알 - 핑크 / IF6561,230,"톤다운된 분홍색이라 부담스럽지 않게 포인트 줄 수 있어요💖 생각보다 여기저기 매치하기 좋고 발도 편해서 자주
신게되는 신발!!! 발볼이 없는 편이 아닌데도 정사이즈는 큰감이 있어 깔창 깔고 신고 있어요. 반사이즈 다운을 추천합니다👍🏻",2024.05.18,커요,보통이에요,보통이에요,보통이에요,편안해요
LV.8 손흥뮌,핸드볼 스페지알 - 핑크 / IF6561,240,아디다는 파스텔톤을 참 잘쓰는거 같아요 진한핑크색이 아니라 은은한 파스텔톤이라 이뻐서 인기가 많은것 같아요,2024.05.17,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.8 손흥뮌,핸드볼 스페지알 - 핑크 / IF6561,220,아디다는 파스텔톤을 참 잘쓰는거 같아요 진한핑크색이 아니라 은은한 파스텔톤이라 이뻐서 인기가 많은것 같아요,2024.05.17,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.8 손흥뮌,핸드볼 스페지알 - 핑크 / IF6561,225,아디다는 파스텔톤을 참 잘쓰는거 같아요 진한핑크색이 아니라 은은한 파스텔톤이라 이뻐서 인기가 많은것 같아요,2024.05.17,보통이에요,보통이에요,보통이에요,보통이에요,적당해요
LV.3 고명한대전토트백,핸드볼 스페지알 - 핑크 / IF6561,235,"240 인데 다들 서이즈 다운 하라고 해서 235했더니 편안하게 잘 맞아요
핑크색이라 너무 튀려나 했는데 어디에나 잘 어울라는 핑크라 전혀 부담 없고 요즘 매일 심고다녀요 블랙으로 무난한거 살까하다가 이게 인기가 너무 많아서 골라봤는데 훨씬 젛아여",2024.05.17,보통이에요,보통이에요,보통이에요,보통이에요,편안해요
LV.4 미래적인홍콩소품,핸드볼 스페지알 - 핑크 / IF6561,220,아디다스 삼바를 220 샀는데 삼바 보다 큰편이에요! 끈 꽉 안묶으면 헐거덕 거리네용 ㅜㅜ 그래도 이뻐요!!!,2024.05.17,커요,밝아요,선명해요,넓어요,편안해요
LV.3 슬기로운종로셔링,핸드볼 스페지알 - 핑크 / IF6561,240,스페지알 너무 예뻐요.. 여행갈 때 신어야겠다 싶어서 별 생각 안하고 바로 시켰는데 이틀만에 왔구요!! 받아보니까 색감도 너무 예쁘고 튀지 않아서 좋아요! 다른 신발 245 신고 컨버스는 250 신는데 아디다스는 항상 240 신습니다!,2024.05.16,커요,보통이에요,선명해요,보통이에요,편안해요
